,image_id,twin_pair_id,twin_type,twin_id,age,gender,rating
0,1,1,MZ,1,37,2,4
0,1,1,MZ,2,37,2,3
1,1,2,DZ,1,41,2,4
1,1,2,DZ,2,41,2,4
2,1,3,MZ,1,36,2,5
2,1,3,MZ,2,36,2,4
3,1,4,DZ,1,37,2,3
3,1,4,DZ,2,37,2,4
4,1,5,MZ,1,48,1,4
4,1,5,MZ,2,48,1,4
5,1,6,DZ,1,59,2,3
5,1,6,DZ,2,59,2,3
6,1,7,MZ,1,53,1,3
6,1,7,MZ,2,53,1,5
7,1,8,MZ,1,54,2,4
7,1,8,MZ,2,54,2,5
8,1,9,MZ,1,55,1,5
8,1,9,MZ,2,55,1,3
9,1,10,MZ,1,40,2,4
9,1,10,MZ,2,40,2,4
10,1,11,MZ,1,40,2,5
10,1,11,MZ,2,40,2,6
11,1,12,MZ,1,66,2,3
11,1,12,MZ,2,66,2,4
12,1,13,MZ,1,49,1,4
12,1,13,MZ,2,49,1,6
13,1,14,MZ,1,61,2,3
13,1,14,MZ,2,61,2,4
14,1,15,MZ,1,37,2,6
14,1,15,MZ,2,37,2,3
15,1,16,DZ,1,55,2,7
15,1,16,DZ,2,55,2,4
16,1,17,MZ,1,59,2,2
16,1,17,MZ,2,59,2,6
17,1,18,MZ,1,55,2,4
17,1,18,MZ,2,55,2,6
18,1,19,DZ,1,48,2,5
18,1,19,DZ,2,48,2,4
19,1,20,DZ,1,43,2,6
19,1,20,DZ,2,43,2,4
20,1,21,MZ,1,54,1,2
20,1,21,MZ,2,54,1,3
21,1,22,MZ,1,61,2,6
21,1,22,MZ,2,61,2,7
22,1,23,MZ,1,58,2,4
22,1,23,MZ,2,58,2,5
23,1,24,DZ,1,42,1,5
23,1,24,DZ,2,42,1,2
24,1,25,DZ,1,60,2,4
24,1,25,DZ,2,60,2,4
25,1,26,MZ,1,54,1,4
25,1,26,MZ,2,54,1,3
26,1,27,MZ,1,66,1,3
26,1,27,MZ,2,66,1,4
27,1,28,MZ,1,63,2,5
27,1,28,MZ,2,63,2,5
28,1,29,MZ,1,46,2,4
28,1,29,MZ,2,46,2,4
29,1,30,DZ,1,63,2,5
29,1,30,DZ,2,63,2,4
30,1,31,MZ,1,35,2,5
30,1,31,MZ,2,35,2,6
31,1,32,MZ,1,41,2,3
31,1,32,MZ,2,41,2,3
32,1,33,MZ,1,62,2,5
32,1,33,MZ,2,62,2,4
33,1,34,MZ,1,64,1,3
33,1,34,MZ,2,64,1,3
34,1,35,MZ,1,58,2,3
34,1,35,MZ,2,58,2,6
35,1,36,DZ,1,53,1,5
35,1,36,DZ,2,53,1,3
