Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.402537201143, 0.399247955962, 26
boring, 0.578368346188, 0.739658241487, 318
calm, 0.469632723091, 0.496907812514, 46
cold, 0.786959163374, 0.85695986312, 333
common, 0.357445301662, 0.553275559509, 162
confident, 0.582027217173, 0.712143388232, 242
egotistic, 0.621276225766, 0.680917979141, 182
emotUnstable, 0.641576684739, 0.654527425365, 91
forgettable, 0.493112848019, 0.543967580045, 86
intelligent, 0.607046144937, 0.615744638044, 101
introverted, 0.621253791811, 0.780854079661, 353
kind, 0.793006912266, 0.885950051237, 500
responsible, 0.697138960641, 0.736511842347, 162
trustworthy, 0.736292682999, 0.753157419397, 162
unattractive, 0.672827265287, 0.74451699737, 172
unemotional, 0.734809008503, 0.831362939959, 333
unfamiliar, 0.42599126306, 0.491065690709, 86
unfriendly, 0.765193684478, 0.757032632137, 61
unhappy, 0.77833900054, 0.868272929044, 333
weird, 0.522096290131, 0.647121063683, 167
aggressive, 0.711902470026, 0.761259101737, 182
attractive, 0.724357027984, 0.811631259884, 242
caring, 0.787825185805, 0.857386376043, 313
emotStable, 0.609632254192, 0.765224170603, 298
emotional, 0.598898696946, 0.641923595363, 76
familiar, 0.465907675704, 0.487454894037, 51
friendly, 0.806207571109, 0.83924673919, 177
happy, 0.814179372764, 0.868722629208, 237
humble, 0.612707810852, 0.621539419541, 66
interesting, 0.600633207216, 0.598146284938, 51
irresponsible, 0.650686670692, 0.720072078414, 157
mean, 0.725642374783, 0.774528714576, 177
memorable, 0.473247721561, 0.602219636862, 157
normal, 0.558055428942, 0.728652624659, 253
sociable, 0.762188071878, 0.854461878619, 313
typical, 0.38310373045, 0.524896593215, 132
uncertain, 0.625313539973, 0.63985445169, 91
uncommon, 0.338917326532, 0.545455398592, 172
unintelligent, 0.560243506437, 0.602874273166, 91
untrustworthy, 0.69460711494, 0.751435900113, 177
