Social Attributes, caffeNet_test, caffeNet_train, caffeNet_FeatureNum
atypical, 0.359106221192, 0.531370478572, 142
boring, 0.546516778706, 0.604816327169, 81
calm, 0.401792318024, 0.601301855326, 177
cold, 0.713187706499, 0.805629553315, 167
common, 0.375733655094, 0.507466955199, 121
confident, 0.566959515514, 0.618189188348, 76
egotistic, 0.543198429053, 0.687144659398, 182
emotUnstable, 0.56423248331, 0.693905514463, 192
forgettable, 0.460807861241, 0.523384227783, 66
intelligent, 0.564406086918, 0.594338237261, 76
introverted, 0.619779642532, 0.70280253587, 172
kind, 0.717092891775, 0.808544385706, 222
responsible, 0.621273740488, 0.80205952213, 424
trustworthy, 0.661947334577, 0.762731835103, 187
unattractive, 0.672254351678, 0.727577327874, 121
unemotional, 0.691225283828, 0.71864199554, 66
unfamiliar, 0.352241343986, 0.502912068504, 71
unfriendly, 0.72491630892, 0.815359251552, 227
unhappy, 0.743577315825, 0.818008854116, 227
weird, 0.480936376836, 0.686334876746, 222
aggressive, 0.697053019289, 0.755258253943, 222
attractive, 0.746854695585, 0.837643186658, 338
caring, 0.725258221894, 0.846711995264, 363
emotStable, 0.626289944768, 0.777554952735, 363
emotional, 0.603875930705, 0.634059856025, 61
familiar, 0.38061267756, 0.500141508519, 81
friendly, 0.772143426574, 0.862290641228, 363
happy, 0.815911541739, 0.877781843835, 343
humble, 0.605629404758, 0.681956000873, 192
interesting, 0.553929592643, 0.632959336973, 86
irresponsible, 0.659979195553, 0.683290195019, 137
mean, 0.70499582868, 0.75607653226, 137
memorable, 0.49140804425, 0.54986605098, 81
normal, 0.504946925588, 0.745362564281, 363
sociable, 0.7232478762, 0.76078910567, 81
typical, 0.321018950406, 0.64707676062, 348
uncertain, 0.578261658029, 0.725335867215, 313
uncommon, 0.369135157261, 0.513194606343, 137
unintelligent, 0.539373636982, 0.728833996728, 399
untrustworthy, 0.667361142679, 0.72894781369, 147
