Social Attributes, geometric_test, vgg16_test, geometric_train, vgg16_train, geometric_feature_num, vgg16_FeatureNum
atypical, 0.389489332973, 0.349974863468, 0.576680701568, 0.705057794415, 187, 439
boring, 0.550981750824, 0.585372508975, 0.583568303089, 0.67721798048, 61, 121
calm, 0.492280467138, 0.544003062448, 0.569594645925, 0.576449514231, 101, 127
cold, 0.815112893058, 0.783414169856, 0.846926929102, 0.872994860238, 157, 343
common, 0.394434485452, 0.430812509694, 0.474921226927, 0.503646157987, 61, 96
confident, 0.617576207259, 0.627484830558, 0.629464899609, 0.668280399284, 116, 101
egotistic, 0.64170879193, 0.646164985019, 0.669002533168, 0.679375367465, 76, 127
emotUnstable, 0.634451825702, 0.66605978454, 0.677574873834, 0.730670476827, 101, 247
forgettable, 0.428419436957, 0.454319703694, 0.4935739708, 0.735223779552, 61, 444
intelligent, 0.577844678132, 0.642091365343, 0.591893645855, 0.81090799853, 91, 494
introverted, 0.673099382224, 0.656122772295, 0.637140221953, 0.690307060748, 11, 51
kind, 0.801475746368, 0.79202140419, 0.806969856546, 0.845163218953, 61, 237
responsible, 0.683964281249, 0.727229464092, 0.681323191672, 0.730507885188, 71, 96
trustworthy, 0.734959370002, 0.745423036807, 0.743947595964, 0.829135500424, 66, 343
unattractive, 0.609791646555, 0.66765204453, 0.678985341943, 0.74985375481, 86, 111
unemotional, 0.772029757612, 0.757479125653, 0.778993089042, 0.783240795353, 61, 106
unfamiliar, 0.448971223573, 0.452848176367, 0.457545470995, 0.531166190607, 61, 127
unfriendly, 0.816505095133, 0.792092213724, 0.816351145719, 0.867453239221, 86, 368
unhappy, 0.830562131168, 0.814071277686, 0.82676486222, 0.869018167099, 71, 308
weird, 0.505442400058, 0.558578944062, 0.511641786231, 0.678164373115, 26, 202
aggressive, 0.735792381843, 0.729254423402, 0.764414725723, 0.745000805369, 121, 101
attractive, 0.642623745284, 0.727253497138, 0.755494484424, 0.887025651738, 162, 494
caring, 0.804549831872, 0.800667697744, 0.823788404499, 0.845734653606, 132, 258
emotStable, 0.669325104184, 0.685607838525, 0.716650183963, 0.75722246398, 157, 247
emotional, 0.591597911904, 0.598508480972, 0.653576388265, 0.664617572815, 76, 86
familiar, 0.464766443936, 0.461507586173, 0.490414429551, 0.562756650794, 71, 157
friendly, 0.851379699165, 0.824576449076, 0.847239405555, 0.867363883426, 101, 253
happy, 0.871231684151, 0.838699092477, 0.883803986316, 0.890196736825, 157, 253
humble, 0.612155202881, 0.61730312173, 0.711441957586, 0.672434342977, 111, 96
interesting, 0.555786756974, 0.56314284618, 0.592976734093, 0.662182130032, 61, 101
irresponsible, 0.650217044517, 0.692442140655, 0.640807188781, 0.748559785907, 46, 197
mean, 0.76806745892, 0.746057593525, 0.796058119468, 0.852488122093, 116, 373
memorable, 0.399872163129, 0.462740842408, 0.490107950484, 0.589747254119, 61, 76
normal, 0.588230583444, 0.6189441768, 0.660546467326, 0.720645799725, 101, 247
sociable, 0.794189848184, 0.769904494576, 0.829283652404, 0.840712555342, 162, 237
typical, 0.400969524546, 0.458995290914, 0.515943755391, 0.55357187732, 81, 147
uncertain, 0.658367991044, 0.637046420445, 0.670912700608, 0.689066055854, 101, 127
uncommon, 0.364630060754, 0.386947548615, 0.497903620039, 0.442054092258, 111, 36
unintelligent, 0.563503634443, 0.599110308423, 0.578465657997, 0.640601353518, 71, 101
untrustworthy, 0.716662943696, 0.710589858256, 0.746791200589, 0.825499996975, 116, 373
