Social Attributes, faceSNN_test, faceSNN_train, faceSNN_FeatureNum
atypical, 0.125418167662, 0.230965076876, 33
boring, 0.238177634513, 0.350705565886, 50
calm, 0.123739554543, 0.23316762443, 33
cold, 0.322140862707, 0.362690797653, 50
common, 0.15307317619, 0.265966320183, 50
confident, 0.144055241496, 0.255764716297, 44
egotistic, 0.221450054861, 0.321289106227, 33
emotUnstable, 0.200960387171, 0.27257546602, 44
forgettable, 0.222502983982, 0.32251560273, 50
intelligent, 0.215190494794, 0.264500301664, 33
introverted, 0.325646390051, 0.319157662328, 50
kind, 0.30114696431, 0.372411182223, 50
responsible, 0.280579227829, 0.304308180369, 50
trustworthy, 0.252731415455, 0.322502553097, 33
unattractive, 0.356797032963, 0.411966178139, 50
unemotional, 0.343682854509, 0.398987592852, 50
unfamiliar, 0.196135907859, 0.250657458326, 50
unfriendly, 0.313764421337, 0.368781619518, 50
unhappy, 0.331155948116, 0.355467005859, 50
weird, 0.267731230586, 0.288596877005, 50
aggressive, 0.289754825526, 0.332866459571, 33
attractive, 0.380871162196, 0.442312325667, 50
caring, 0.351725802071, 0.358647194012, 39
emotStable, 0.252457265948, 0.29048898359, 39
emotional, 0.33255304052, 0.422769294512, 50
familiar, 0.196917915333, 0.233475430355, 44
friendly, 0.334603464623, 0.351790113534, 39
happy, 0.374238309644, 0.390333953705, 50
humble, 0.321982770388, 0.299762254893, 33
interesting, 0.193150468911, 0.28628811822, 39
irresponsible, 0.296750679994, 0.316759951626, 39
mean, 0.311183578587, 0.315542486648, 33
memorable, 0.156211539001, 0.332487262768, 50
normal, 0.185947100905, 0.318322176691, 50
sociable, 0.32306242266, 0.32425314489, 39
typical, 0.17811266479, 0.19601636813, 22
uncertain, 0.24519357584, 0.271331878922, 39
uncommon, 0.117049512062, 0.224435380683, 33
unintelligent, 0.170391853786, 0.279159553227, 39
untrustworthy, 0.337292957836, 0.348754729209, 39
