Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.412377905518, 0.572344286151, 217
boring, 0.564905383162, 0.692089209377, 187
calm, 0.465832368771, 0.725354663331, 409
cold, 0.748233094362, 0.87398955002, 409
common, 0.32337830966, 0.384724380045, 26
confident, 0.517322749472, 0.690971140061, 182
egotistic, 0.598670663951, 0.699798925243, 182
emotUnstable, 0.602351179944, 0.723695931314, 222
forgettable, 0.427540045225, 0.573192774819, 127
intelligent, 0.556117199081, 0.744409802765, 384
introverted, 0.593758221997, 0.722074830748, 152
kind, 0.771884992344, 0.86823881738, 409
responsible, 0.662823898008, 0.802207061906, 384
trustworthy, 0.689379050453, 0.830255904541, 404
unattractive, 0.628856014785, 0.763447021541, 187
unemotional, 0.741110471775, 0.790134423438, 217
unfamiliar, 0.393932975406, 0.570933397449, 192
unfriendly, 0.734496518606, 0.876549935862, 409
unhappy, 0.774727003587, 0.88680408817, 409
weird, 0.511085085858, 0.669272708639, 187
aggressive, 0.685787464136, 0.829768933677, 409
attractive, 0.667065839294, 0.827863395941, 278
caring, 0.765135524989, 0.86737698673, 368
emotStable, 0.592878209344, 0.744077856494, 197
emotional, 0.616067360803, 0.612160465742, 36
familiar, 0.397966062212, 0.45128856953, 21
friendly, 0.789722051484, 0.892156244975, 419
happy, 0.803527952111, 0.899056251807, 333
humble, 0.579989531768, 0.809564412964, 474
interesting, 0.520890575773, 0.706496007198, 182
irresponsible, 0.67180045436, 0.777202037086, 333
mean, 0.693036261049, 0.847120278082, 409
memorable, 0.384727563595, 0.520702183733, 46
normal, 0.560030741775, 0.777982122788, 419
sociable, 0.737616713584, 0.825602714314, 162
typical, 0.345161498864, 0.697712271297, 424
uncertain, 0.611328102331, 0.682484501855, 152
uncommon, 0.359795692757, 0.386588781699, 21
unintelligent, 0.553257907528, 0.664659333622, 172
untrustworthy, 0.68839361178, 0.813575470624, 368
