Social Attributes, vggFace_test, vggFace_train, vggFace_FeatureNum
atypical, 0.364309283662, 0.445909434528, 56
boring, 0.605303466623, 0.691340423269, 192
calm, 0.439818284294, 0.466156785333, 46
cold, 0.728801734, 0.803358315037, 192
common, 0.431503471264, 0.463630585771, 111
confident, 0.573172283568, 0.600762392814, 96
egotistic, 0.507056851458, 0.609926055706, 61
emotUnstable, 0.522055362386, 0.666921048853, 142
forgettable, 0.443691706045, 0.570033851809, 106
intelligent, 0.583607041858, 0.645475876519, 137
introverted, 0.600318420405, 0.633854329918, 56
kind, 0.733757692065, 0.790259304123, 192
responsible, 0.648161130847, 0.705599208894, 142
trustworthy, 0.676585503506, 0.727871320829, 132
unattractive, 0.651385635972, 0.685887029598, 86
unemotional, 0.687599126349, 0.787752085871, 192
unfamiliar, 0.342095022944, 0.459422583294, 46
unfriendly, 0.723880467966, 0.799782226005, 192
unhappy, 0.743059498816, 0.814620107589, 187
weird, 0.532830988907, 0.526390074421, 46
aggressive, 0.665282117433, 0.671724147547, 46
attractive, 0.729357518469, 0.726490552608, 96
caring, 0.753980201177, 0.807479125181, 222
emotStable, 0.608183781308, 0.694186059563, 152
emotional, 0.524909716613, 0.752435671131, 358
familiar, 0.415243637996, 0.418921782301, 26
friendly, 0.785037338458, 0.82024285036, 187
happy, 0.807990231909, 0.86761388701, 308
humble, 0.55058557684, 0.587932750627, 46
interesting, 0.589495048073, 0.654294786019, 116
irresponsible, 0.624161269783, 0.709416862514, 142
mean, 0.693952213303, 0.678833441381, 46
memorable, 0.48496214931, 0.546504390306, 71
normal, 0.572340588309, 0.589037886225, 91
sociable, 0.755206256439, 0.789438588617, 152
typical, 0.319285817557, 0.399144294322, 36
uncertain, 0.584707197932, 0.591610147318, 46
uncommon, 0.331313693585, 0.396177377137, 61
unintelligent, 0.538266887387, 0.642455776898, 147
untrustworthy, 0.667277049062, 0.695870302361, 106
