,Attractive
img1,4.14110032362
img2,4.10550161812
img3,4.5857605178
img4,4.59158576052
img5,4.48802588997
img6,4.25177993528
img7,3.70485436893
img8,2.45501618123
img9,2.38252427184
img10,3.94368932039
img11,2.88996763754
img12,3.63818770227
img13,2.44854368932
img14,3.40582524272
img15,4.04012944984
img16,3.99805825243
img17,4.79417475728
img18,4.67702265372
img19,4.40841423948
img20,2.63042071197
img21,4.01682847896
img22,3.92233009709
img23,3.69449838188
img24,3.5786407767
img25,2.68220064725
img26,2.77669902913
img27,2.35080906149
img28,2.20323624595
img29,2.47637540453
img30,4.67184466019
img31,4.24854368932
img32,3.52815533981
img33,3.87896440129
img34,2.91715210356
img35,3.60388349515
img36,2.78705501618
img37,3.63948220065
img38,1.98834951456
img39,2.28414239482
img40,3.07961165049
img41,2.76504854369
img42,3.82459546926
img43,2.09514563107
img44,3.82718446602
img45,2.56699029126
img46,3.16957928803
img47,3.28025889968
img48,3.66213592233
img49,2.76051779935
img50,3.50614886731
img51,4.01359223301
img52,3.41229773463
img53,3.13915857605
img54,4.0142394822
img55,5.46731391586
img56,4.34498381877
img57,5.58770226537
img58,5.75663430421
img59,3.44401294498
img60,2.7786407767
img61,2.50873786408
img62,2.57087378641
img63,4.28867313916
img64,5.14174757282
img65,4.84724919094
img66,5.5074433657
img67,3.11585760518
img68,5.17928802589
img69,2.97605177994
img70,2.86213592233
img71,5.49449838188
img72,2.73203883495
img73,2.871197411
img74,2.89579288026
img75,4.55922330097
img76,3.95792880259
img77,3.53009708738
img78,5.19935275081
img79,5.41229773463
img80,5.29514563107
img81,5.22718446602
img82,3.47896440129
img83,4.76699029126
img84,5.54886731392
img85,3.92686084142
img86,3.3430420712
img87,2.72491909385
img88,4.95598705502
img89,4.04595469256
img90,2.89449838188
img91,3.60388349515
img92,5.50226537217
img93,5.55275080906
img94,4.28414239482
img95,4.1928802589
img96,3.07766990291
img97,2.7216828479
img98,2.44142394822
img99,2.71003236246
img100,2.28090614887
img101,4.46343042071
img102,4.68932038835
img103,4.77087378641
img104,2.66601941748
img105,2.50614886731
img106,4.13462783172
img107,4.27443365696
img108,4.06019417476
img109,4.91974110032
img110,2.73333333333
img111,4.26537216828
img112,4.38317152104
img113,4.79546925566
img114,2.87249190939
img115,3.95598705502
img116,4.82394822006
img117,4.72362459547
img118,2.5216828479
img119,4.90226537217
img120,2.39741100324
img121,2.51391585761
img122,2.03818770227
img123,2.66666666667
img124,2.61035598706
img125,2.68414239482
img126,3.22071197411
img127,3.45372168285
img128,3.38122977346
img129,3.96569579288
img130,4.20388349515
img131,4.66472491909
img132,2.29190938511
img133,2.52233009709
img134,2.58770226537
img135,2.51391585761
img136,2.53333333333
img137,3.63495145631
img138,2.15533980583
img139,2.38381877023
img140,3.90161812298
img141,2.59611650485
img142,3.7786407767
img143,4.16181229773
img144,2.22653721683
img145,2.97928802589
img146,4.34692556634
img147,2.56699029126
img148,4.59546925566
img149,2.48414239482
img150,3.65307443366
img151,4.41941747573
img152,3.38834951456
img153,3.29773462783
img154,4.14045307443
img155,4.37022653722
img156,4.82265372168
img157,4.47766990291
img158,3.5715210356
img159,3.73009708738
img160,4.28867313916
img161,4.81941747573
img162,3.3003236246
img163,3.51326860841
img164,4.81747572816
img165,3.92427184466
img166,4.89126213592
img167,3.671197411
img168,4.46990291262
img169,3.72103559871
img170,5.62265372168
img171,5.33074433657
img172,4.75987055016
img173,3.73656957929
img174,4.67572815534
img175,4.92038834951
img176,5.19805825243
img177,4.41035598706
img178,5.0355987055
img179,4.85372168285
img180,4.9145631068
img181,3.25436893204
img182,3.29773462783
img183,2.99158576052
img184,3.04919093851
img185,4.36375404531
img186,3.76310679612
img187,3.29644012945
img188,3.69061488673
img189,3.71909385113
img190,3.38381877023
img191,3.42459546926
img192,3.88220064725
img193,4.54498381877
img194,4.10873786408
img195,4.69514563107
img196,4.91003236246
img197,3.72686084142
img198,4.63948220065
img199,4.61877022654
img200,3.13268608414
