FA,CA,AV
674.579417424,93.5472888176,12.0433503496
640.390249325,80.304951685,30.2224516065
649.447688695,80.2652172439,40.7287947331
621.692482986,88.2874894536,37.4564754551
664.559481698,79.3160614247,23.6895507586
613.234561207,81.1366166723,73.8463728238
650.934469284,90.3174587003,25.9294969758
668.357255198,87.1719492151,16.3752554387
635.076021568,80.0119030752,37.4725283501
617.787424779,80.4529080265,21.4391027458
582.580453273,75.1954163202,71.7039990744
699.741003477,99.249731532,19.6507553907
638.602010365,86.4984369917,55.8151909832
666.320196979,93.1742410566,17.7845458451
637.385355829,86.1452531797,54.4277267617
657.615169543,96.9713522175,39.817422159
620.600357389,86.4161970899,27.18279602
607.462926375,83.6872540129,54.9517525126
646.364803162,86.8148213051,21.4357178558
623.224633956,82.1128171937,80.8302900835
613.606980157,97.3433451138,30.7375054135
669.834339547,99.9387156077,53.2528096937
649.695034854,88.6110422177,20.6212299714
633.656279456,86.3199173784,33.769277269
640.596455145,90.1182252785,66.7648210727
689.631505074,99.4457296726,28.6872830145
690.414577437,100.604908561,36.5378591342
670.268698909,83.6904479767,35.76824093
710.026847462,99.5235606323,56.5297273645
637.426496716,97.2007211165,28.7091338077
657.907730032,86.1082413546,18.0048040436
656.59650726,92.3192598084,71.7788254613
658.725281448,92.14031736,10.4908708179
620.840409967,82.5119358488,32.5453048642
569.036203266,77.1748282471,72.4746664958
612.040281697,78.6462362134,107.779793742
688.604252224,94.6361503688,23.5475922624
627.834212916,83.3758356427,46.0505670528
638.590944479,86.1110661862,32.6151298019
684.789228052,89.1485133287,35.4935808869
650.741398768,89.1638267258,16.2541723528
657.309571003,94.4530738751,25.1285110352
688.136545971,112.931532437,28.5487983607
795.837208294,100.870806392,100.10451989
641.082354511,86.4064683187,61.3620335292
720.389327222,101.912650645,24.4020963885
705.45061441,105.677175592,28.4455224809
635.779920091,95.3349105451,36.6041849828
712.842192431,97.517793181,30.0262165998
656.526415322,86.7787732297,25.0570271228
656.226386667,88.7201640114,19.6111757825
638.763281991,99.818679117,32.5297915197
644.007500547,87.8835894658,46.3114613503
663.314082331,95.4986587699,28.4282813228
660.789994563,93.3638693392,27.9064499062
658.5017899,95.3806369192,59.1306793319
668.583045375,95.0468254629,29.5872566275
638.67509186,82.5257311235,34.8588271242
701.371592671,103.515055014,19.3189321932
674.741409751,98.3085215623,24.5199174767
679.191626726,86.1476195801,53.8361894151
668.925528062,95.9501897225,29.1220564993
635.077748474,83.3467155748,61.4705961281
629.455350506,82.4142135624,51.84647647
675.271539726,94.0781006837,5.31934018321
659.703040492,89.3485115262,23.3196654238
701.276892284,105.184581227,53.7471362092
638.909076629,86.5126700053,24.0733755775
650.236757821,95.5525063368,25.2068662676
640.709472122,100.923440363,26.8276230208
606.988530693,79.5142123498,42.3470824036
658.478990355,87.6642163556,68.781445237
658.202896341,98.064195168,26.3284090793
638.385805072,96.3773392524,30.7741265516
659.108442237,87.7238303633,32.6889779621
624.308942755,85.15426294,37.4284722495
647.280593523,99.9078448383,42.3396612566
672.386925671,85.7994244655,23.6169029647
619.894179149,83.2812506735,42.2196529488
722.755517443,100.883039643,28.526908247
644.400396446,87.5629191361,19.6298783662
642.073728118,83.2055977024,42.2899314179
654.527923615,84.0607693001,13.1781341897
646.419693065,88.808638933,25.1815565936
669.093248309,87.4872897403,15.5698002513
663.157460324,102.356168553,70.8164599921
661.0,89.0,40.0196867653
628.739908889,84.6950496279,70.6584898241
644.026670127,111.507626686,35.3889212805
638.461297533,81.1127267115,34.4808889897
632.843317307,88.2009996354,27.829471758
627.945798846,82.1415159542,34.7493530963
629.442380903,86.2545824151,63.7411378814
691.077995853,100.246467728,27.8646531584
657.155500062,92.2289293417,51.5162413773
703.269792095,101.540143452,54.4032970838
621.234393774,77.8829462515,28.2155608525
663.07170177,84.0108682813,23.778715076
646.537629893,86.9909056371,37.2097586107
696.575315494,87.6333219132,25.3726442411
621.503020488,83.5578169224,33.7453829776
683.773712886,88.1071107497,18.3603124134
646.18980945,85.5219582724,37.1651098663
665.946341661,94.5345092406,29.9414656532
616.456024331,81.8463572146,73.6815965929
632.798674903,90.1798765887,28.1744011824
641.422224519,98.2465054364,40.0594164798
642.635850842,84.0946952468,71.7885056753
644.767084033,87.2249624003,22.9481183952
681.99740507,91.253733586,44.5887388625
613.229914807,83.0224289435,39.308010745
653.338682801,86.7726598843,26.7998699596
644.921200036,90.2866857963,32.6638223862
689.27516816,101.262726706,25.1287572198
656.379239949,97.496189807,28.1923212467
613.21859642,90.5612885731,35.8985929953
630.392140202,87.4865168327,53.6753877138
658.199083513,85.1795139173,61.5622309269
636.401119077,87.105847643,27.9004089339
630.801200983,91.3808526025,81.8628471744
647.801682346,88.6445583993,68.9437820239
662.783045078,90.1972251021,51.2608899234
666.217633661,94.7035074735,47.3641830666
654.61686762,83.290403219,79.377664824
663.909421933,94.3976798703,60.8006695464
656.770505067,89.4908197673,72.6676968142
670.53118565,96.6078262582,26.3811252944
649.683476216,93.8420472256,56.6158479883
653.449609905,85.5938987208,44.4180328719
656.224497954,83.6181398204,30.8406356809
628.530691481,83.1758291344,25.6696063779
645.872742642,83.5670245503,21.4414547883
654.752845102,87.2715411649,24.6035243814
656.246418432,84.1267912929,32.3659933543
649.191585539,83.4910202356,16.9414613074
647.235173066,85.0284395934,37.2828085402
652.931414394,90.7902557348,28.4616390131
605.306531629,82.1335068956,47.4270410874
596.980323613,83.35973656,77.3532677424
603.140923516,82.001871778,80.6790265827
631.781564715,84.8753047004,75.7259782368
667.998052751,86.1587334047,33.0444113667
639.095444467,88.4812562372,17.4637685448
647.69977026,89.4249176433,32.3424037684
642.665450468,84.9736958333,26.1820114135
670.587411813,85.236857678,12.602725126
679.448796426,96.9136625234,38.331696597
657.564091591,84.2216691164,11.8481759065
631.535798288,85.8992785276,43.7941841488
637.212145456,82.2783761376,56.5702412487
759.243976966,106.189463507,64.7318395937
771.713426886,106.390100327,58.1884563857
768.088875382,111.736381269,74.970957197
757.045250412,106.611874356,79.2815143634
775.158529461,110.750976416,100.434436366
755.800428214,104.391938263,81.1287957456
779.624270141,105.348546198,91.3430311992
770.08724384,107.297433548,60.8050366502
749.317248826,103.175433278,41.5858919046
762.863703834,113.087933504,89.1628391325
746.359888821,97.2546546862,89.1812067888
775.731850931,113.844726937,49.660014619
753.938151528,104.625120159,53.2086216317
773.039836408,110.29685703,99.175704541
752.321966117,103.271820448,31.2898289372
737.71918426,102.391857375,73.1611393271
784.183825924,111.599354549,114.235797009
772.690716891,109.126950548,82.5643196343
741.306487044,107.878626829,34.6467000592
745.109169837,109.39723389,112.294012501
783.742222455,116.817980308,110.328385358
761.494859698,101.872306665,97.33021372
760.804161157,111.336312473,69.1777857567
727.124477251,96.0857677951,65.1546330925
790.638956721,108.35079262,80.3232377814
743.709969054,102.657159911,64.1414111919
738.640009453,99.1253781995,42.0297330833
758.031985793,110.988490758,82.4976880329
747.813971874,112.507877934,78.2939465705
732.328495874,104.194453532,66.3424173417
763.505364661,112.428496362,45.2150902573
733.563842446,111.310461385,55.2097913357
764.741280391,99.6911319233,48.6069152555
746.220470649,94.2616578769,43.1675736622
733.007913135,110.413950692,77.2971671533
726.858392933,100.387250192,51.2115670004
742.005459319,104.536719038,72.1561083854
728.76333521,101.662779587,56.1314182166
734.316161234,109.786115625,94.1568629717
764.737863793,114.376260298,117.172202267
760.133598122,109.641244732,67.382457447
777.075609908,113.955787076,87.2901365448
775.811725751,114.227440416,74.3510227851
764.205842811,110.734349847,94.403788274
769.61813792,107.255449218,91.1951663854
746.877055081,105.639011307,59.2345663112
758.573869785,109.970562748,105.148422907
743.218608622,99.7902371366,87.5596468134
757.300803401,101.554969244,61.2870656079
772.387146496,102.069645521,44.3476446741
