dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness
mit,0,28.0178514522,51,14.5311288741,200,9.513185193,27.5449249337,153.081677545,124.064499354,70.0071424927,68.5072988812,73.265356752,71.0673378529,46,106.480933262,53.0094331228,1.759559512,0.7654083877,1.2338878434,0.5493696363,0.0726556444,0.3453697992,0.047565926,0.3500357125,0.3553366893,0.23,0.2650471656,0.5324046663,0.145085891,0.6203224968
mit,1,27.0185121722,52.038447325,20.5,201.039797055,10.7726805086,29.6092552854,145.279041847,117.106788872,79.0063288604,69.0651865993,80.753482897,70.0438920472,34.0147027034,106.039428135,56.0200856836,1.5952934726,0.7226382238,1.2405689136,0.5192028887,0.1019698602,0.3638281478,0.0535848159,0.3929885029,0.3484080917,0.169193877,0.2786517222,0.5274549104,0.1401327169,0.5825055068
mit,2,26,55.0090901579,16,200,9.5524865873,25.74262475,143.03146507,121.016527797,77,61.0020491459,77.0016233595,72.3687822471,36.0138862107,107.580121094,56.5022123461,1.580241133,0.7151573253,1.1819167817,0.4726491554,0.08,0.3710766357,0.0477624329,0.385,0.3618439112,0.1800694311,0.2825110617,0.5379006055,0.1100746864,0.605082639
mit,3,28.0178514522,52.0096144958,22.0384048104,201.009950002,10.2749378106,28.5863054632,145.124084838,117.0683561,83.0240928888,65.0480591563,84.5181193591,65.3243044567,32.0624390838,103.086649425,59.076221951,1.6487115791,0.7219746328,1.2396525387,0.5387052322,0.1096383777,0.3594356684,0.0511165632,0.4130347422,0.3249804522,0.1595067263,0.2938970034,0.5128435156,0.1395738307,0.582400802
mit,4,27,55,17,201.002487547,11.2781127252,29.0859978657,145.013792447,119.016805536,76,70.5070918419,78.006409993,75.0766275215,36.0138862107,107.435357928,50,1.4647857823,0.7214527254,1.2184312274,0.4909090909,0.0845760677,0.3877505863,0.0561093192,0.3781047734,0.3735109373,0.1791713458,0.2487531404,0.5344976534,0.1293366427,0.5921160827
mit,5,28,49,18.0498756211,201.009950002,7.7894529687,24.0520067283,129.015502944,109.01834708,84.0238061504,62.5,85.7631185301,66.3551071164,34.0147027034,96.5422833392,64.5174395028,1.5267839575,0.6418364013,1.1834292704,0.5714285714,0.0897959311,0.3238587556,0.0387515791,0.4180081939,0.3301085698,0.1692189999,0.3209663974,0.480286092,0.099483413,0.5423529884
mit,6,31,53.0377224247,16.5355339059,200.062490237,8.2871155776,27.0096118313,147.003401321,121.004132161,72.1110255093,66.0075753228,77.2904424881,70.0199391382,41.0121933088,104.82676273,49.040799341,1.5470614233,0.7347874214,1.2148626555,0.5844896535,0.0826518449,0.3068209802,0.0414226353,0.3604425069,0.3499903408,0.204996915,0.2451274064,0.5239700986,0.129955741,0.6048316804
mit,7,29.0172362571,57,13,201.002487547,7.7831864876,27.5181818122,149.013422214,123.004064973,70,73.0017123087,76.0037005678,74.7935397382,41.0121933088,106.636409793,45.5,1.453789485,0.7413511347,1.2114512008,0.5090743203,0.0646758165,0.2828379629,0.0387218416,0.3482543965,0.3721025578,0.2040382376,0.2263653577,0.5305228363,0.1293981859,0.6119529488
mit,8,28,49.040799341,19,201.009950002,9.0555539858,26.5830777072,145.168867186,118.067777145,80.0062497559,63.0713881249,80.5015527801,69.2691673323,36.0138862107,106.774582119,61.0081961707,1.7073964554,0.7221974195,1.2295384117,0.5709531732,0.0945226841,0.3406510745,0.0450502773,0.3980213405,0.3446056642,0.1791646941,0.3035083396,0.5311905312,0.1348246196,0.5873727999
mit,9,27.0185121722,50.0099990002,15.0355339059,201.022386813,9.0276925691,26.5926895385,153.264477293,122.200654663,81,70.563800918,83.0015060104,69.826229325,39,105.501581006,55.5360243446,1.6368535062,0.7624249205,1.254203406,0.5402622018,0.0747953208,0.3394802378,0.0449088916,0.4029401963,0.3473554883,0.1940082427,0.2762678586,0.5248250341,0.1545291702,0.6078957503
