face,pears
122,-0.814253066722
73,-0.79393216063
94,-0.792034998151
119,-0.754996873433
103,-0.745615570198
71,-0.724106234202
51,-0.69283982766
98,-0.689226275301
105,-0.671668192377
146,-0.660756534937
42,-0.660695468854
140,-0.607442308546
17,-0.601582358234
148,-0.597857864883
22,-0.582966752219
25,-0.577205865906
104,-0.574716396059
93,-0.568896722069
114,-0.568458864617
52,-0.551256435703
139,-0.549224424525
88,-0.541865727683
138,-0.51393962928
59,-0.503076735151
60,-0.457081528641
131,-0.455820634194
120,-0.447704002838
97,-0.447628823888
23,-0.436755453838
40,-0.434942258169
6,-0.434352980572
68,-0.427991299521
24,-0.418456287553
127,-0.41432665051
29,-0.405668588876
5,-0.394608135908
128,-0.37864812286
47,-0.370622427965
124,-0.363433789499
106,-0.357219103054
109,-0.355955478128
102,-0.35540302597
115,-0.349455969444
95,-0.349423251826
35,-0.341318098336
72,-0.333785032777
90,-0.332850767695
134,-0.325690402295
61,-0.325387913133
143,-0.320607166826
53,-0.319076445199
0,-0.302830391303
89,-0.299870115596
86,-0.290337111397
18,-0.273637414746
10,-0.270074379023
7,-0.257697760857
20,-0.25407906574
121,-0.250031191582
13,-0.238450079988
78,-0.236137511452
50,-0.234690814609
32,-0.227022502417
34,-0.225671762234
31,-0.22298897676
116,-0.220681842133
12,-0.208441742095
69,-0.203884549668
55,-0.202255146241
45,-0.20142584845
117,-0.196728224536
49,-0.192310830279
110,-0.189158113303
76,-0.187331380948
108,-0.183117065268
33,-0.183112481692
11,-0.181226101699
48,-0.18028149276
123,-0.175261733469
91,-0.16932087248
80,-0.163547359295
44,-0.156260548321
126,-0.140322320144
137,-0.13882489622
79,-0.136120617603
26,-0.135961288959
62,-0.135121659787
84,-0.131458357464
15,-0.123007398201
37,-0.116908911033
85,-0.115172331433
135,-0.114891335161
87,-0.105549958961
19,-0.102914251972
168,-0.100980508025
75,-0.0990774971143
132,-0.0852042355459
99,-0.0818405896482
2,-0.0806162889266
66,-0.077044197491
149,-0.0761038432701
125,-0.0746726814659
39,-0.0642387574786
9,-0.0573252035255
92,-0.0546464428095
54,-0.0520987193538
8,-0.0495570497963
14,-0.0256179586127
151,-0.0151587794264
166,-0.0147375204135
112,-0.00507802989075
142,-0.000374811437856
133,0.000304228169041
63,0.000429374112667
67,0.00402669326153
46,0.0106987367109
129,0.011095955
144,0.0144294532436
100,0.0215422711774
185,0.0344552447729
16,0.0427109284289
190,0.042749727724
191,0.0473434381956
107,0.0505039902738
130,0.0551901876055
41,0.0700903324831
152,0.0707450899981
186,0.0711028365111
181,0.0728636782033
81,0.0771796291865
74,0.0831465126066
189,0.0833088171633
187,0.087035371841
162,0.0895369804316
196,0.0990247784494
36,0.0992166631394
180,0.0993298122781
70,0.124035119936
136,0.144671177253
64,0.144683327058
96,0.145192403997
158,0.145646632111
58,0.146801778236
27,0.166962405775
118,0.173819323001
157,0.200811697442
57,0.211078931184
193,0.225705807388
188,0.227687116709
172,0.241129328757
141,0.266596211403
111,0.282196818671
113,0.292259455599
38,0.299073273908
164,0.299271119874
43,0.302982784111
56,0.303155426163
3,0.311479026281
161,0.323584116712
65,0.325275844771
153,0.347858857379
28,0.354976978419
4,0.362420326183
183,0.366850860505
184,0.368688131509
83,0.375662173261
167,0.391036104725
150,0.444571462299
1,0.448708833211
156,0.449459396895
169,0.455624464105
154,0.462598381267
147,0.470844417609
171,0.477462072591
159,0.501260253149
165,0.505225486974
30,0.510014312981
182,0.528953362212
194,0.531832684664
163,0.540949340909
192,0.547925967643
197,0.554053267607
101,0.555299655808
177,0.564481721843
199,0.567312620008
21,0.568687385542
170,0.602981987521
173,0.603110154245
195,0.607031207976
176,0.624186247034
82,0.641305795038
160,0.645720296949
77,0.645915470314
198,0.654188700349
145,0.677990518832
178,0.684313684494
155,0.719727629902
175,0.729654829329
179,0.746062374414
174,0.780064564884
